"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12328","R00003","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:05 GMT+07:00 2025","","R00003.spec.js","",""
"","1881","R00030","chromium","Tue Mar 11 14:59:25 GMT+07:00 2025","passed","Tue Mar 11 14:59:27 GMT+07:00 2025","","R00030.spec.js","",""
"","9893","R00023","chromium","Tue Mar 11 14:59:19 GMT+07:00 2025","passed","Tue Mar 11 14:59:29 GMT+07:00 2025","","R00023.spec.js","",""
"","9808","R00024","chromium","Tue Mar 11 14:59:21 GMT+07:00 2025","passed","Tue Mar 11 14:59:31 GMT+07:00 2025","","R00024.spec.js","",""
"","6604","R00010","chromium","Tue Mar 11 14:59:05 GMT+07:00 2025","passed","Tue Mar 11 14:59:12 GMT+07:00 2025","","R00010.spec.js","",""
"","6408","R00007","chromium","Tue Mar 11 14:59:04 GMT+07:00 2025","passed","Tue Mar 11 14:59:10 GMT+07:00 2025","","R00007.spec.js","",""
"","4548","R00008","chromium","Tue Mar 11 14:59:05 GMT+07:00 2025","passed","Tue Mar 11 14:59:09 GMT+07:00 2025","","R00008.spec.js","",""
"","4708","R00037","chromium","Tue Mar 11 14:59:30 GMT+07:00 2025","passed","Tue Mar 11 14:59:35 GMT+07:00 2025","","R00037.spec.js","",""
"","2256","R00039","chromium","Tue Mar 11 14:59:32 GMT+07:00 2025","passed","Tue Mar 11 14:59:34 GMT+07:00 2025","","R00039.spec.js","",""
"","5507","R00009","chromium","Tue Mar 11 14:59:05 GMT+07:00 2025","passed","Tue Mar 11 14:59:10 GMT+07:00 2025","","R00009.spec.js","",""
"","11171","R00002","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:04 GMT+07:00 2025","","R00002.spec.js","",""
"","11619","R00004","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:04 GMT+07:00 2025","","R00004.spec.js","",""
"","8560","R00012","chromium","Tue Mar 11 14:59:09 GMT+07:00 2025","passed","Tue Mar 11 14:59:18 GMT+07:00 2025","","R00012.spec.js","",""
"","9425","R00025","chromium","Tue Mar 11 14:59:23 GMT+07:00 2025","passed","Tue Mar 11 14:59:32 GMT+07:00 2025","","R00025.spec.js","",""
"","8132","R00034","chromium","Tue Mar 11 14:59:27 GMT+07:00 2025","passed","Tue Mar 11 14:59:36 GMT+07:00 2025","","R00034.spec.js","",""
"","3425","R00038","chromium","Tue Mar 11 14:59:31 GMT+07:00 2025","passed","Tue Mar 11 14:59:34 GMT+07:00 2025","","R00038.spec.js","",""
"","0","R00015","chromium","Tue Mar 11 14:59:12 GMT+07:00 2025","skipped","Tue Mar 11 14:59:12 GMT+07:00 2025","","R00015.spec.js","",""
"","23280","R00001","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:16 GMT+07:00 2025","","R00001.spec.js","",""
"","3302","R00020","chromium","Tue Mar 11 14:59:18 GMT+07:00 2025","passed","Tue Mar 11 14:59:21 GMT+07:00 2025","","R00020.spec.js","",""
"","1898","R00026","chromium","Tue Mar 11 14:59:23 GMT+07:00 2025","passed","Tue Mar 11 14:59:25 GMT+07:00 2025","","R00026.spec.js","",""
"","5160","R00021","chromium","Tue Mar 11 14:59:18 GMT+07:00 2025","passed","Tue Mar 11 14:59:23 GMT+07:00 2025","","R00021.spec.js","",""
"","3493","R00035","chromium","Tue Mar 11 14:59:29 GMT+07:00 2025","passed","Tue Mar 11 14:59:32 GMT+07:00 2025","","R00035.spec.js","",""
"","8397","R00014","chromium","Tue Mar 11 14:59:11 GMT+07:00 2025","passed","Tue Mar 11 14:59:19 GMT+07:00 2025","","R00014.spec.js","",""
"","1855","R00031","chromium","Tue Mar 11 14:59:26 GMT+07:00 2025","passed","Tue Mar 11 14:59:27 GMT+07:00 2025","","R00031.spec.js","",""
"","6054","R00019","chromium","Tue Mar 11 14:59:17 GMT+07:00 2025","passed","Tue Mar 11 14:59:23 GMT+07:00 2025","","R00019.spec.js","",""
"","3036","R00033","chromium","Tue Mar 11 14:59:27 GMT+07:00 2025","passed","Tue Mar 11 14:59:30 GMT+07:00 2025","","R00033.spec.js","",""
"","7648","R00011","chromium","Tue Mar 11 14:59:07 GMT+07:00 2025","passed","Tue Mar 11 14:59:15 GMT+07:00 2025","","R00011.spec.js","",""
"","3156","R00032","chromium","Tue Mar 11 14:59:26 GMT+07:00 2025","passed","Tue Mar 11 14:59:29 GMT+07:00 2025","","R00032.spec.js","",""
"","14401","R00006","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:07 GMT+07:00 2025","","R00006.spec.js","",""
"","3190","R00036","chromium","Tue Mar 11 14:59:29 GMT+07:00 2025","passed","Tue Mar 11 14:59:32 GMT+07:00 2025","","R00036.spec.js","",""
"","2109","R00029","chromium","Tue Mar 11 14:59:24 GMT+07:00 2025","passed","Tue Mar 11 14:59:26 GMT+07:00 2025","","R00029.spec.js","",""
"","4840","R00022","chromium","Tue Mar 11 14:59:19 GMT+07:00 2025","passed","Tue Mar 11 14:59:23 GMT+07:00 2025","","R00022.spec.js","",""
"","2175","R00028","chromium","Tue Mar 11 14:59:23 GMT+07:00 2025","passed","Tue Mar 11 14:59:26 GMT+07:00 2025","","R00028.spec.js","",""
"","6402","R00018","chromium","Tue Mar 11 14:59:16 GMT+07:00 2025","passed","Tue Mar 11 14:59:23 GMT+07:00 2025","","R00018.spec.js","",""
"","5976","R00016","chromium","Tue Mar 11 14:59:12 GMT+07:00 2025","passed","Tue Mar 11 14:59:18 GMT+07:00 2025","","R00016.spec.js","",""
"","3464","R00017","chromium","Tue Mar 11 14:59:15 GMT+07:00 2025","passed","Tue Mar 11 14:59:19 GMT+07:00 2025","","R00017.spec.js","",""
"","7013","R00013","chromium","Tue Mar 11 14:59:10 GMT+07:00 2025","passed","Tue Mar 11 14:59:17 GMT+07:00 2025","","R00013.spec.js","",""
"","11786","R00005","chromium","Tue Mar 11 14:58:53 GMT+07:00 2025","passed","Tue Mar 11 14:59:04 GMT+07:00 2025","","R00005.spec.js","",""
"","0","R00027","chromium","Tue Mar 11 14:59:23 GMT+07:00 2025","skipped","Tue Mar 11 14:59:23 GMT+07:00 2025","","R00027.spec.js","",""
